Input,Llama2ExLlama,Llama2ExLlama score,Llama2ExLlama yn score
"Cetoddle, Scrafty","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| Patrat | Normal | 45 | 60 | 30 | 40 | 50 | 30 | - | A rodent-like Pokémon with sharp teeth and claws. It has the ability to burrow underground quickly. |
| Amaura | Ground | 70 | 90 | 60 | 70 | 80 | 50 | - | A large, lizard-like Pokémon with incredible strength. It can dig holes in the ground with ease. |
| Sceptile | Grass | 80 | 100 | 70 | 80 | 90 | 60 | - | A tall, snake-like Pokémon with a long, venomous fang. It can use its speed to outmaneuver opponents easily. |",0.7649513483047485,0.137951374053955
"Flittle, Groudon","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Flittle | Normal | 60 | 120 | 90 | 75 | 40 | 80 | - | A small, rodent-like Pokémon with large ears and a fluffy tail. It can use its powerful sense of smell to track down its opponents. |
| Groudon | Rock | 130 | 150 | 100 | 80 | 50 | 100 | - | The legendary Pokémon from the ancient times, said to have created the land itself. Its body is covered in rocks and it has incredible strength. |",0.6270555257797241,0.1520555317401886
"Barbaracle, Stakataka, Gallade, Fomantis","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Barbaracle | Water | 60 | 120 | 90 | 85 | 75 | 40 | - | A large, lumbering Pokémon with a tough hide. It can create massive waves to wash away its opponents. |
| Stakataka | Ground | 70 | 130 | 100 | 90 | 80 | 50 | - | A slow but powerful Pokémon that can cause massive earthquakes. Its movements are so slow it's almost impossible to dodge them. |
| Gallade | Psychic | 80 | 140 | 110 | 100 | 90 | 60 | - | A graceful and agile Pokémon with psychic powers. It can use its psychic abilities to attack from afar or defend itself against attacks. |
| Fomantis | Bug | 90 | 150 | 120 | 100 | 90 | 70 | - | A small, quick Pokémon with sharp claws. It can use its speed to dodge attacks and strike back quickly. |",0.6201958656311035,0.1351959109306335
"Charcadet, Axew, Torkoal","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Charcadet | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A water-type Pokémon that can create powerful waves to attack its opponents. |
| Axew | Ground | 60 | 130 | 100 | 90 | 80 | 50 | - | An earthquake-type Pokémon that can cause massive destruction with its powerful movements. |
| Torkoal | Fire | 60 | 140 | 110 | 90 | 80 | 60 | - | A fire-type Pokémon that can generate intense heat and flames from its body. |",0.6248193979263306,0.1461526751518249
"Unown, Mudsdale","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Unown | Normal | 60 | 120 | 95 | 70 | 40 | 85 | - | A small, round Pokémon with multiple eyes on its head. It can change the shape of its body to suit different situations. |
| Mudsdale | Ground | 70 | 130 | 100 | 80 | 50 | 90 | - | A large, worm-like Pokémon that lives in muddy areas. Its powerful digging abilities make it difficult to stop once it starts burrowing. |",0.747359573841095,0.2493595480918884
"Baxcalibur, Honchkrow","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Baxcalibur | Fire | 65 | 120 | 90 | 70 | 80 | 40 | - | A powerful and majestic Pokémon with the ability to control fire. It can create massive flames that can engulf entire cities. |
| Honchkrow | Fighting | 70 | 130 | 100 | 80 | 90 | 50 | - | A large and muscular Pokémon with incredible strength. Its punches are capable of causing massive destruction. |",0.6942557096481323,0.2452556937932968
"Murkrow, Charmeleon, Karrablast, Grumpig","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Murkrow | Normal | 60 | 120 | 85 | 90 | 70 | 40 | - | A large bird-like Pokémon known for its impressive wingspan and powerful claws. It can fly at high speeds and strike from the sky with deadly accuracy. |
| Charmeleon | Fire | 70 | 130 | 90 | 100 | 80 | 50 | - | A lizard-like Pokémon that is known for its fiery personality and powerful attacks. Its flamethrower attack can scorch opponents with ease. |
| Karrablast | Rock | 60 | 100 | 80 | 90 | 70 | 40 | - | A small, rock-type Pokémon with a tough exterior and sharp claws. It can roll into balls to protect itself from harm. |
| Grumpig | Electric | 70 | 120 | 90 | 80 | 70 | 50 | - | A small, rodent-like Pokémon with electric powers. It can generate intense electrical discharges from its body and use them on its foes. |",0.6208690404891968,0.1438689976930618
"Staravia, Exeggcute, Tentacool, Rhyhorn","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Staravia | Grass | 60 | 120 | 90 | 75 | 45 | 80 | - | A grass-type Pokémon that can create powerful vines to restrain its opponents. |
| Exeggcute | Rock | 45 | 90 | 60 | 45 | 30 | 60 | - | An egg-like Pokémon that can roll into a ball and deal massive damage when it hits an opponent. |
| Tentacool | Water | 70 | 120 | 80 | 60 | 50 | 90 | - | A sea creature Pokémon with long tentacles that can grab onto opponents and drain their HP. |
| Rhyhorn | Fire | 90 | 150 | 100 | 70 | 50 | 120 | - | A fire-type Pokémon with large horns that can blast fiery flames at its opponents. |",0.5701061487197876,0.1413561552762985
"Oddish, Wigglytuff, Mareanie","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Oddish | Grass | 60 | 85 | 70 | 120 | 90 | 40 | - | A small, rodent-like Pokémon with large ears and a long tail. It can use its powerful sense of smell to track down its prey. |
| Wigglytuff | Normal | 70 | 90 | 80 | 60 | 130 | 70 | - | A Pokémon that is said to have been created by the gods themselves. Its body is covered in soft, fluffy fur, making it look like a living cloud. |
| Mareanie | Water | 60 | 90 | 70 | 60 | 120 | 80 | - | A sea creature that has evolved into a Pokémon. It has a slimy, elastic body that allows it to stretch and change shape at will. |",0.6288964748382568,0.1372298598289489
"Mismagius, Metang","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Mismagius | Psychic | 60 | 120 | 90 | 150 | 70 | 40 | - | A legendary Pokémon known for its immense psychic powers. It can create powerful illusions and manipulate the minds of others. |
| Metang | Bug | 80 | 130 | 100 | 120 | 80 | 50 | - | An insect-like Pokémon that can change its shape to suit its surroundings. Its shell is incredibly hard and resistant to damage. |",0.6010617017745972,0.138561725616455
"Bellsprout, Absol, Volcanion","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Bellsprout | Grass | 60 | 85 | 70 | 120 | 90 | 40 | - | A small, plant-like Pokémon with large leaves that can be used to block attacks. |
| Absol | Dark | 70 | 90 | 80 | 130 | 100 | 50 | - | A dark and mysterious Pokémon known for its ability to sense danger. |
| Volcanion | Fire / Steel | 90 | 120 | 100 | 140 | 110 | 60 | - | A powerful Pokémon created from the power of volcanoes, capable of generating intense heat and flames. |",0.7255964279174805,0.1411519944667816
"Linoone, Bayleef, Lanturn","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Linoone | Normal | 60 | 120 | 90 | 75 | 45 | 80 | - | A quadrupedal Pokémon with a large body and powerful legs. It can run at high speeds and deliver devastating kicks to its opponents. |
| Bayleef | Grass | 55 | 100 | 80 | 60 | 35 | 70 | - | A plant-like Pokémon that can photosynthesize like a tree. Its vines are highly sensitive and can grab onto opponents. |
| Lanturn | Water | 60 | 120 | 90 | 75 | 45 | 80 | - | A fish-like Pokémon with the ability to generate intense water pressure. It can use this power to crush its opponents or create massive waves. |",0.6978836059570312,0.1355502605438232
"Scovillain, Audino, Whirlipede, Growlithe","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Scovillain | Fire | 60 | 120 | 85 | 95 | 70 | 40 | - | A bipedal, lizard-like Pokémon with flames on its body. It can shoot fireballs from its mouth to attack its opponents. |
| Audino | Electric | 60 | 130 | 90 | 80 | 60 | 40 | - | An elephant-like Pokémon with electric powers. Its attacks are powerful and fast. |
| Whirlipede | Bug | 60 | 120 | 90 | 80 | 60 | 40 | - | A large centipede-like Pokémon that can move quickly by using its many legs. It can also poison its opponents with its venomous fangs. |
| Growlithe | Fire | 60 | 120 | 90 | 80 | 60 | 40 | - | A small, rodent-like Pokémon covered in fur. It has a fierce determination and is known for its speed and agility. |",0.7005380392074585,0.1412880271673202
"Quaxwell, Skwovet","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Quaxwell | Normal | 60 | 120 | 90 | 75 | 45 | 85 | - | A quadrupedal Pokémon with a large body and short legs. It has two small eyes on its forehead that can see the future. |
| Skwovet | Ground | 55 | 100 | 80 | 60 | 35 | 70 | - | An insect-like Pokémon with a hard exoskeleton. Its mandibles are very strong and can crush rocks. |",0.6067377328872681,0.1417377442121505
"Porygon2, Cosmoem, Pikipek","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Porygon2 | Normal | 65 | 130 | 90 | 70 | 85 | 40 | - | A highly intelligent and technologically advanced Pokémon. It can create powerful illusions to confuse its opponents. |
| Cosmoem | Psychic | 60 | 120 | 80 | 60 | 90 | 45 | - | The evolved form of Cosmog. Its psychic powers are incredibly strong, allowing it to read minds and predict the future. |
| Pikipek | Grass | 55 | 90 | 60 | 50 | 70 | 35 | - | A small bird-like Pokémon that is known for its gentle nature and ability to heal itself and others. |",0.6355878114700317,0.1452544629573822
"Reuniclus, Varoom","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Reuniclus | Normal | 60 | 120 | 90 | 75 | 100 | 40 | - | A small, insect-like Pokémon with the ability to generate powerful vibrations. It can use its vibrations to create shockwaves that can knock opponents back and deal damage. |
| Varoom | Electric | 80 | 130 | 100 | 80 | 120 | 50 | - | An electric mouse-like Pokémon with the ability to generate intense electrical discharges from its body. Its attacks are highly charged and can strike multiple targets at once. |",0.5622637271881104,0.1397637724876403
"Pawmo, Paras","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Pawmo | Normal | 60 | 120 | 90 | 75 | 85 | 40 | - | A small, round Pokémon with a big smile on its face. It has the ability to heal itself and its allies using its powerful psychic powers. |
| Paras | Grass | 65 | 130 | 100 | 80 | 90 | 50 | - | An insect-like Pokémon that can control plants and trees. Its vines are incredibly strong and can be used to bind opponents or trip them up. |",0.5353320837020874,0.1303321123123169
"Pinsir, Shroomish, Lileep","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Pinsir | Grass | 60 | 120 | 85 | 95 | 70 | 40 | Pineco | A quadrupedal Pokémon with large pincers on its arms. It can use its powerful jaws to bite and crush its opponents. |
| Shroomish | Grass | 60 | 90 | 70 | 80 | 60 | 30 | Breloom | A plant-like Pokémon that grows in the wild. Its vines are strong enough to bind and immobilize its opponents. |
| Lileep | Water | 70 | 100 | 60 | 80 | 70 | 40 | Leafeon | A serpentine Pokémon with a long, slender body covered in water droplets. It has a special power that allows it to control the weather. |",0.6934195756912231,0.142752930521965
"Thwackey, Gorebyss, Wimpod","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Thwackey | Normal | 60 | 120 | 90 | 65 | 45 | 70 | - | A brown and white rodent-like Pokémon with large ears. It can use its powerful jaws to bite through almost anything. |
| Gorebyss | Poison | 80 | 130 | 100 | 70 | 50 | 60 | - | A dark blue, slimy Pokémon that can release poisonous gas from its body. Its weakness is water. |
| Wimpod | Electric | 70 | 100 | 80 | 60 | 45 | 55 | - | A small, round Pokémon with a lightning-fast movement speed. It can generate electricity in its body for attacking purposes. |",0.6089915037155151,0.1366581469774246
"Noivern, Arceus, Aron, Liepard","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Noivern | Normal | 60 | 120 | 90 | 75 | 100 | 85 | - | A large bird-like Pokémon known for its incredible strength and speed. It can fly at high speeds and is said to be able to strike targets from the sky without warning. |
| Arceus | Psychic | 70 | 140 | 100 | 80 | 120 | 90 | - | The creator of the universe and all living things. Its power is unmatched among Pokémon and it has the ability to change its form to suit any situation. |
| Aron | Fire | 60 | 130 | 90 | 70 | 110 | 80 | - | A powerful fire-type Pokémon that can generate intense heat by flapping its wings. It can also create massive explosions using its flames. |
| Liepard | Grass | 50 | 100 | 80 | 60 | 90 | 70 | - | A grass-type Pokémon with a slender body and long, sharp claws. It uses its agility and quick reflexes to dodge attacks and deliver swift strikes. |",0.6423408389091492,0.1460908353328704
"Magikarp, Tyranitar, Cubone","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Magikarp | Water | 60 | 45 | 70 | 120 | 90 | 30 | Squirtle | A small fish-like Pokémon that can evolve into Gyarados. It has the ability to breathe underwater and is known for its speed and agility in the water. |
| Tyranitar | Rock | 80 | 120 | 90 | 60 | 100 | 50 | Mega Blastoise | A large, bipedal Pokémon with incredible strength. Its body is covered in tough scales that protect it from attacks. It can use its powerful legs to deliver devastating kicks to its opponents. |
| Cubone | Ground | 70 | 90 | 60 | 120 | 80 | 40 | Marowak | A fossilized Pokémon with great strength. It has a high defense stat due to its thick armor plates. It can dig holes quickly using its powerful jaws. |",0.6581485271453857,0.1498152017593383
"Revavroom, Vespiquen","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Revavroom | Grass | 60 | 120 | 90 | 65 | 45 | 70 | - | A grass-type Pokémon that can grow vines to restrain its opponents. |
| Vespiquen | Bug | 55 | 80 | 60 | 45 | 30 | 55 | - | An insect-type Pokémon that can shoot venomous stingers from its body. |",0.7264242172241211,0.2279242277145385
"Caterpie, Qwilfish, Rapidash","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Caterpie | Bug | 60 | 75 | 45 | 120 | 90 | 85 | - | A bug-like Pokémon that can evolve into Metapod and then Butterfree. It has the ability to photosynthesize and can use its long antennae to sense its surroundings. |
| Qwilfish | Water | 70 | 90 | 60 | 130 | 100 | 90 | - | A fish-like Pokémon that can swim at high speeds and has sharp teeth for biting. Its body is covered in hard scales for protection. |
| Rapidash | Fire | 80 | 120 | 70 | 100 | 150 | 100 | - | A horse-like Pokémon with a fiery mane and tail. It can run at incredible speeds and has powerful legs for kicking. |",0.6812392473220825,0.1545725464820861
"Snorunt, Flygon, Hoppip, Dragonair","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Snorunt | Ground / Ice | 60 | 120 | 95 | 70 | 40 | 85 | - | A small, rodent-like Pokémon with a distinctive snout. It can create ice barriers to protect itself and its allies. |
| Flygon | Bug / Flying | 70 | 130 | 100 | 80 | 50 | 90 | - | A large insectoid Pokémon with wings that allow it to fly at incredible speeds. Its stinger is highly venomous. |
| Hoppip | Normal | 45 | 80 | 60 | 50 | 40 | 70 | - | A small bird-like Pokémon known for its impressive jumping ability. It can also use its wings to glide long distances. |
| Dragonair | Water | 80 | 120 | 90 | 70 | 50 | 60 | - | A serpentine Pokémon with the ability to breathe water. It can also generate powerful whirlpools to trap opponents. |",0.648461103439331,0.1422111093997955
"Dolliv, Salazzle, Chespin, Abra","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Dolliv | Normal | 60 | 120 | 90 | 75 | 45 | 85 | - | A brown and white rodent-like Pokémon with large ears. It can dig tunnels quickly by moving its arms and legs in unison. |
| Salazzle | Fire | 65 | 130 | 100 | 80 | 55 | 90 | - | A fire-type Pokémon that resembles a lion. Its fiery mane is said to be able to melt steel. |
| Chespin | Grass | 50 | 90 | 60 | 70 | 40 | 75 | - | A small, spider-like Pokémon with eight legs. It can spin webs using its hind legs for protection. |
| Abra | Psychic | 70 | 120 | 90 | 80 | 60 | 75 | - | A psychic-type Pokémon with the ability to read minds. It has a long, slender body with two large eyes on top of its head. |",0.640332043170929,0.1238320171833038
"Lickilicky, Frigibax, Cubchoo, Glalie","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Lickilicky | Normal | 60 | 120 | 90 | 75 | 45 | 85 | - | A Pokémon that can create powerful illusions to confuse its opponents. Its Illusion Cannon attack is particularly effective against opposing Trainers. |
| Frigibax | Ice | 50 | 90 | 60 | 45 | 30 | 70 | - | A large and slow Pokémon with thick fur. It has the ability to generate intense cold around itself, making it difficult for opponents to approach. |
| Cubchoo | Grass | 40 | 70 | 50 | 30 | 45 | 60 | - | A small and cute Pokémon with a unique flower-like appearance. Its Petal Dance attack is highly effective in battles. |
| Glalie | Dragon | 70 | 100 | 80 | 60 | 50 | 90 | - | A legendary Pokémon said to have been born from ice and snow. Its Frost Breath attack can freeze opponents solid. |",0.7188066244125366,0.1400566399097442
Beautifly,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Beautifly | Bug | 60 | 120 | 95 | 70 | 85 | 100 | - | A flying-type Pokémon known for its graceful movements. |",0.6957172751426697,0.3407173454761505
"Gabite, Volcarona, Froakie","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Gabite | Ground | 60 | 120 | 85 | 90 | 70 | 40 | - | A ground-type Pokémon that can create powerful vibrations to shake its opponents. Its evolved form, Garchomp, is known for its incredible strength and speed. |
| Volcarona | Bug | 65 | 130 | 90 | 100 | 80 | 50 | - | A bug-type Pokémon with the ability to control fire. It can generate intense heat by flapping its wings rapidly, which allows it to fly at high speeds. |
| Froakie | Water | 60 | 100 | 80 | 90 | 70 | 40 | - | An aquatic Pokémon with a large mouth full of sharp teeth. It has a special ability called ""Frost Breath"" that can freeze its opponents solid. |",0.6534315943717957,0.1427648961544037
"Buneary, Slowpoke","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Buneary | Normal | 60 | 75 | 45 | 30 | 20 | 80 | - | A small, rabbit-like Pokémon with large ears and a fluffy tail. It has the ability to sense vibrations in the ground and can dig holes quickly. |
| Slowpoke | Water | 60 | 90 | 40 | 30 | 15 | 60 | - | A slow-moving Pokémon that lives in rivers and lakes. Its shell is very hard and protects it from attacks. |",0.7061216235160828,0.1461215913295745
"Meltan, Kirlia, Zarude","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Meltan | Fire | 60 | 120 | 85 | 95 | 70 | 40 | - | A small, rod-like Pokémon that can melt any object it touches. It is known for its ability to create powerful weapons and tools. |
| Kirlia | Psychic | 70 | 130 | 90 | 100 | 80 | 50 | - | A beautiful, fairy-like Pokémon with the power to control time itself. Its movements are said to be so graceful that they can make even the most skilled dancers jealous. |
| Zarude | Fighting | 80 | 140 | 100 | 85 | 95 | 60 | - | A large, muscular Pokémon with a strong sense of justice. It will not hesitate to defend those in need, using its incredible strength to protect them from harm. |",0.6554107666015625,0.1460774093866348
"Floatzel, Pichu, Zamazenta","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Floatzel | Water | 65 | 120 | 90 | 80 | 70 | 40 | - | A powerful and majestic Pokémon that can create massive waves to wash away its opponents. |
| Pichu | Electric | 45 | 70 | 60 | 50 | 40 | 30 | - | A small, rodent-like Pokémon with incredible electric powers. |
| Zamazenta | Dragon | 70 | 100 | 80 | 70 | 60 | 40 | - | A legendary Pokémon said to have the power to control time itself. |",0.687544047832489,0.1408774256706237
"Zacian, Fletchling","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Zacian | Fire | 65 | 120 | 90 | 70 | 85 | 40 | - | A legendary Pokémon from the ancient times. It is said to have been created by the gods themselves. |
| Fletchling | Normal | 45 | 70 | 60 | 50 | 65 | 30 | - | The evolved form of Flaffy. Its wings are very strong and can create powerful gusts of wind. |",0.6777783632278442,0.1507783830165863
"Combusken, Furret, Popplio, Genesect","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Combusken | Fire | 60 | 120 | 85 | 90 | 70 | 40 | Evolves into Blaziken at level 30 | A Pokémon that is known for its fierce fighting spirit. It can create intense heat from its body and use it to attack its opponents. |
| Furret | Grass | 50 | 90 | 60 | 70 | 60 | 30 | Does not evolve | A small, rodent-like Pokémon with long ears and sharp claws. It has the ability to burrow underground quickly and can strike enemies with surprise attacks. |
| Popplio | Water | 60 | 90 | 70 | 80 | 70 | 40 | Evolves into Primarina at level 30 | A Pokémon that lives in the ocean and has a beautiful singing voice. It uses its voice to sing songs that can heal or inspire its allies. |
| Genesect | Bug/Steel | 60 | 120 | 80 | 70 | 90 | 60 | Evolves into Mega Genesect at level 30 | A mysterious Pokémon that is said to have been created by humans through genetic engineering. Its body is made of steel and it has the ability to control machines. |",0.7006826996803284,0.1489326506853103
"Nickit, Torracat, Brionne","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Nickit | Normal | 60 | 120 | 90 | 75 | 45 | 80 | - | A small, rodent-like Pokémon. It has large ears and can hear the movements of its opponents from far away. |
| Torracat | Fire | 70 | 130 | 100 | 80 | 50 | 90 | - | An evolved form of Sandshrew. Its body is covered in fluffy fur to protect it from heat. |
| Brionne | Water | 80 | 140 | 110 | 90 | 60 | 100 | - | An evolved form of Totodile. Its tail is long and slender, allowing it to swim quickly through water. |",0.6207719445228577,0.1351053118705749
"Politoed, Smoliv, Slakoth","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Politoed | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A large turtle-like Pokémon that can heal itself and its allies. |
| Smoliv | Grass | 50 | 90 | 70 | 60 | 50 | 30 | - | A small, rodent-like Pokémon that is skilled in digging. |
| Slakoth | Rock | 40 | 70 | 50 | 60 | 40 | 20 | - | A slow-moving Pokémon that can create powerful earthquakes. |",0.7117031216621399,0.1373697966337204
"Crobat, Cradily, Drapion, Skorupi","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Crobat | Normal | 60 | 120 | 95 | 85 | 70 | 100 | - | A bat-like Pokémon that can fly using its large wings. It is known for its speed and agility in battle. |
| Cradily | Grass | 45 | 90 | 70 | 60 | 50 | 80 | - | A plant-like Pokémon with long, thin arms and legs. It has the ability to photosynthesize and control plants. |
| Drapion | Fighting | 70 | 130 | 90 | 80 | 70 | 100 | - | A powerful and fierce Pokémon with sharp claws and teeth. It is known for its strength and fighting style. |
| Skorupi | Bug | 50 | 80 | 60 | 70 | 60 | 90 | - | A small, insectoid Pokémon with a hard exoskeleton. It can use its mandibles to bite and crush opponents. |",0.7114054560661316,0.1481554210186004
"Cyndaquil, Scrafty, Castform","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Cyndaquil | Fire | 60 | 120 | 85 | 95 | 70 | 40 | Charmander | A small, rodent-like Pokémon with a flame on its tail. It can create massive fires by flicking its tail. |
| Scrafty | Ground | 70 | 130 | 90 | 80 | 60 | 50 | Raichu | A Pokémon that is said to have evolved from the fossils of ancient civilizations. Its strong legs allow it to run at incredible speeds. |
| Castform | Water | 60 | 120 | 90 | 80 | 70 | 60 | Blastoise | A Pokémon that has the ability to control water and ice. It can freeze opponents solid or create massive waves to wash them away. |",0.6220917701721191,0.1484251022338867
Carvanha,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Carvanha | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A large fish with sharp teeth and powerful jaws. It can swim at high speeds and is known for its ferocity in battle. |",0.576356828212738,0.1363568305969238
"Palpitoad, Dragonite, Excadrill, Omanyte","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Palpitoad | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | Palpitoads are large, slimy creatures that can evolve into Slaking. They have the ability to absorb and store water in their bodies, which they use for various purposes such as healing themselves or attacking their opponents. |
| Dragonite | Dragon | 120 | 130 | 90 | 100 | 80 | 60 | - | A powerful dragon-like Pokémon known for its incredible speed and strength. It has the ability to fly using its large wingspan and can breathe fire from its mouth. |
| Excadrill | Ground | 80 | 100 | 70 | 90 | 80 | 60 | - | A ground-type Pokémon with a drill on its head, Excadrills are known for their digging abilities and high defense stats. They are also able to burrow underground quickly and strike at opponents from beneath them. |
| Omanyte | Rock | 70 | 90 | 80 | 70 | 60 | 50 | - | An ancient Pokémon with a tough, armored body, Omanytes are known for their durability and resistance to physical attacks. They have a small, sharp horn on their forehead that they use to defend against opponents. |",0.7258283495903015,0.1633283197879791
"Frillish, Crustle","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Frillish | Water | 60 | 120 | 90 | 85 | 70 | 100 | Evolves into Crustle at level 30 | A sea creature that can create powerful whirlpools to suck in opponents. |
| Crustle | Rock | 70 | 140 | 100 | 90 | 80 | 120 | Evolves from Frillish at level 30 | A rock-like Pokémon with incredible strength and endurance. |",0.6134883165359497,0.1559882909059524
"Xatu, Drizzile","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
